"V1","V2"
"Larissa Corrêa","Boa tarde meu último serviço foi em 2013 e trabalhei nele por 4 meses. Gostaria de saber se tenho direito a receber o auxílio maternidade??? Tive minha filha dia 29/09/2014."
"Suzana Zé Roberto","Recebo beneficio auxilio doença e fiz uma conta corrente pra receber o beneficio  mesmo assim tenho que fazer a prova de vida?"
"Gra Corsini","Boa tarde! Dei entrada no salário maternidade e o prazo era até dia 29 de novembro liguei no 135 e fui até a agencia do INSS porém ninguém me deu uma resposta concreta além de ""esperar"". Por gentileza podem me ajudar?"
"Aldenir Lima","Fui hoje fazer a renovação da senha da minha mãe no Banco do Brasil e atendente disse que não necessitaria fazer a prova de vida pois automaticamente se renovou a senha já estaria ok.Precisa ainda fazer a prova de vida?"
"Elyzangela Menezes","Minha mãe recebe Amparo ao idoso e ja fez prova de vida no banco precisa fazer outro cadastro e onde no INSS?"
"Marcelo Leone","Na boa vocês tem que ser extintos. Estou há duas horas para ser atendido para apenas dar baixa de um benefício devido ao óbito do beneficiário. Já tinha ido a outra agência e veio a patética informação que somente pode dar baixa na agência onde está o benefício.É difícil ser um cidadão correto ne ..."
"José Reinaldo Almeida","Boa tarde previdência socialquem aposentou esse ano precisa fazer a prova de vida?"
"Maria Bisneta","Previdência Social pelo amor de Deus consertem o meu inss site pois coloco cpf senha e etc e quando vou solicitar qualquer serviço nao sai do canto mesmo com o cadeado aberto o que ta havendo? nao consigo consultar nada do site..."
"Wanda Maria François Gomes","No início desse ano transferi minha conta onde recebo meu INSS para o BB. Mesmo assim preciso fazer prova de vida?"
"Ehlenasarah St","Boa noite. Me aposentei em Setembro de 2017 devo comprovar até fevereiro de 2018 também ou apenas em maio de 2018 quando completo aniversário de vida?"
"Huber Aviles M","Previdencia social.Tentei renovar minha senha de internet depois de conseguir a senha na agencia 30 tentativas e nada.Dados incorrectos???Que se faz??Necesito meus demostrativos de pagamento!!"
"Adriano Gurly","È muita humilhação obrigar o aposentado a provar que está vivo . Em tempos de internet e tecnologia acho isso desnecessario .  Ja vi velhinho com andador ...outros com cilindro de oxigenio  .  Humilhante isso   mas dá pra resolver  é só querer"
"Cristina Ribeiro","Gente  aqueles que recebe o benefício do governo por idade tem que fazer o loan se não vão perde o benefício estao dizendo que vai ate janeiro"
"Cleia Silveira","Kero saber ce o beneficio de cleia da silveira Migleitti foi aprovado"
"Jose Geraldo","Eu apozentei este ano mês de junho eu tem q faze também"
"Zilda Donizeti","Não  benzinho. Minha aposentadoria e diferente  a prova de vida referente ao mês  de aniversário  pois é  paga pelo estado não  e pelo INSS."
"Hermano Dos Santos","A prova de vida pode ser realizada no banco 24 horas ou somente direto na agência?"
"Previdência Social","https://goo.gl/vmS31o"
"Cléria De Araújo Pereira","Peritos incapacitados e despreparados para avaliar pessoas inatas para o trabalho. O 135 pessoas sem educação e grossas atendendo muitos apressados e sem paciência para dar explicação. Se estivesse apta para o trabalho não teria atestado e laudos comprovando a incapacidade."
"Maf Ferreira","Deveriam investigar alguns peritos. Como por exemplo doutor Francisco de Assis e Roberto que atendem no apeadouro são Luís Maranhão."
"Lara Rosa","Caso o segurado tenha alguma pendencia (atualizaçao de endereço etc) os tecnicos do seguro social deviam dizer logo apos a pericia... esse novo metodo de so sair o resultado no dia posterior tem causado muitos transtornos principalmente para o segurado e a empresa"
"Ana Paula","Tenho 11 anos e 6 meses de contribuição. Desde 27.07.2016 estou desempregada. (1 ano e 5 meses.) Sem contribuir. até quando vai meu período de graca?"
"Eduardo Lemos","Boa tarde recebo o beneficio de auxilio doença após 45 dias? pois estou afastado desde Novembro e li sobre caso a pericia seja marcada mas que 45 dias entra automaticamente minha pericia esta marcada somente para 05/02/2018 caso nao receber automaticamente eu recebo esses meses?"
"Thais Silva Aquino","Olá boa tarde entrei com recurso em outubro de 2016 o prazo para resposta era 90 dias já passou mais de 1 ano abri duas reclamações na ouvidoria e só falam para que eu aguarde..aguardar até quando? Aguardo retorno com urgência."
"Keila Luiz","Olá tudo bem com vcs? Quero só dizer uma coisa estava pagando como autônomo depois de anos pagos fui passar embaixo de um andaime e fiquei sem andar por dias  fui ao médico constatou hérnia de disco fiquei sem andar como sou costureira fiquei manuseando a cadeiras de rodas aí perdi os movimento ..."
"Denise Maria","Previdência Social substitua o link ele demora a responder ou está inoperante.https://portal.inss.gov.br/servicos-do-inss/consulta-de-situacao-de-beneficio/"
"Flavia De Paula Oliveira","Peritos despreparodos  sabe pq ? Pq eles ganham 14 mil pra conceder o benefício e 28 mil pra indefir o benefício  Bem fez o sr que na agência que eu fui foi preparado um deu bengalas e o outro soltou rojão ...só viu perito correndo .Bem feito eles não são machões acho que não tem nenhum preparado ..."
"Thaiz Sales","Sei que o meu comentário não tem nada av com o poste á cima mais não deixaria de comentar sobre as vestes dos funcionário da Previdência Social.Por várias vezes que fui aqui na agência de Poços de Caldasreparo na forma que uma funcionário se vesteblusa mostrando a barriga piercing na minha mode ..."
"Eduardo Kennedy","ja faz varios dias que nao consigo ter acesso ao extrato de pagamento do inss o site esta com problema quando sera resolvido??"
"Estela Maris Silveira DE Souza","Oi tenho ossos de vidro eu minhas filhas ja assinei carteira mas devido fraturas ta dificil fizemos tratamentos Hcpa rs"
"Helena Tolentino","gostaria de saber o resultado da perícia g minha mãe fez o retorcebe o aumento sobre aposentadoria dela por esta com câncer o nome dela é Maria de Lourdes Tolentino"
"Rogério A. Silva","Bom dia meu nome é Rogério Alves da Silva e gostaria de saber o resultado da minha perícia feita dia 18/12/17"
"Miriam Michelle Carrara","Previdência Social eu paguei minha primeira contribuição facultativa na semana passada emiti o boleto através do site da previdência e até agora não consta no meu extrato do CNIS"
"Elizete Leal Monteiro","Fiz a prorrogação até fevereiro e marquei a perícia e mesmo assim o benefício foi cessado. E o sit do inss não funciona o que devo fazer"
"Francisco Sérgio Oliveira","Fui negado"
"Romario Carreiro da Silva","Como faço para saber o resultado da minha pericia"
"Gehones Honorio","Fico a pericia e nao sei o resultado"
"Grasi Souza","E agora em dezembro muitos tiveram seu INSS cancelado. Sem ao menos passar pelos médicos do INSS. E quando liga para o 135 ou tenta marca pela internet não consegue comparece na agência e eles não tem como resolver nada. E o pior muitas pessoas não têm condições nenhuma de trabalhar. Automaticament ..."
"Grasi Souza","Eu estava encostada pelo auxílio doença em novembro solicitei a prorrogação e a minha nova perícia iria acontecer em abril de 2018 agora em dezembro recebi uma carta informando que altomaticamente meu benefício foi prorrogado até dia 29/12/2017 se não estivesse apta a voltar ao trabalho teria que  ..."
"Keu Santos","Dia 14/08/2017 fiz uma cirurgia de cálculo renal onde foi colocado um catéter no rim. Foi concedido o benefício até 15/12/2017. No início de outubro retirei o catéter. Só q em novembro tive outra crise renal onde i catéter foi colocado novamente. Solicitei prorrogação do benefício pois sinto dores  ..."
"Tiago Nöthen","Nem precisa consultar. É óbvio que o perito vai te jogar pros lobos doente ou não. No meu caso tive a sorte da empresa aceitou me demitir pagando todos os meus direitos."
"Ermelinda Hungaro Do Prado","Os peritos do ABC são cumprice desse governo senvergonha sem dizer algo mais você pode está morrendo só que ele manda trabalhar a avaliação do meu médico não vale nada e os exames também.isso é uma vergonha e respeito com os idosos."
"Luis Antonio De Aguiar Aguiar","POBRE povo brasileiro sofredor  é karma só pode ser.Salve--se quem puder."
"Previdência Social","Saiba como fazer a prova de vida no goo.gl/qbb8cK"
"Lia Matos","Bom dia! Previdência Social Sou portuguesa trabalhei no Brasil e recebo uma pequena aposentadoria. Preciso alterar o meu endereço e  mudar o nr da conta bancária para onde me é enviada a aposentadoria a quem e para onde devo enviar os novos dados? Grata pela informação."
"Ricardo Kadão","Tenho uma dúvida a prova de vida deve ser feita no mês de aniversário do segurado??"
"Maria Bisneta","Previdência Social o que ta havendo com o numero 135 ????????????? nao pega de celular e nem de fixo desde semana passadaaaaaaaaaaa por favor! como as pessoas vão solicitar perícia ????????? pelo site mas tb o meu inss ta ruim sem condições... por favorrrrrrrr"
"Dom Amaral","'Boa Noite Fiz contribuições como autônomo no período de 08/1989 ate 05/1992( 02 anos e 10 meses ) no valor de 10% do salario minimo da época"
"Roger Teixeira Viana","Quando o meu INSS vai voltar a funcionar. Com login e senha ele não puxa os dados. Já utilizei outras vezes e funcionou normalmente."
"Genival Carnauba","Só uma pergunta! Porque todos os Bancos não usam a biometria ? Seria mais simples pois todos os messes o aposentado  já estava fazendo a prova de vida. Um abraço. E Feliz Natal...para todos."
"Daluz Henrique","Estou achando um absurdo passei tres meses esperando uma pericia quando chego la dizem q o sistema nao está fucionando.Aí remarcam para març2018.2018.Isso é um absurdo"
"Aldo Santana","O benefício da minha mãe não foi depositado foi porque não fez a prova de vida e renovação da senha bancária?"
"Sandra Amaral","Mesmo a pessoa retirando no caixa eletronico com a digital precisa fazer a prova no banco?"
"Eliana Howell","Previdência social como faço para obter o meu histórico de consignado??? Não consigo pelo site que diz  que não pode autenticar ! Não tenho como me dirigir até uma agência pois estou no exterior e antes de sair do Brasil fui até uma agência da previdência e fiz atualizaçao cadastral como faço??"
"Cora Valença","Acho que quem sempre vai ao Banco e usa a digital nas máquinas não precisa provar que está vivo."
"Jota Esse","não sei o que significa ""senha bancaria"" pois meu benefício é depositado diretamente na minha Conta Corrente mensalmente"
"Roberto Marques","Posso fazer Prova de Vida em qualquer agência bancária? Estou morando em outro estado."
"Clodoaldo Gomes","Quem recebe auxílio acidente tbm tem q fazer prova de vida?"
"Macio Enrrique","Como faço a  prova de vida pq ate agora não pediu no meu extrato?"
"Simone Cunha","Eu já fiz o comprovante de vida este ano no mês do meu aniversário. Que renovação de senha bancária é esta que estão pedindo?"
"Paulo Ferreira","Bom Dia! Fiz Minha prova de vida e agora sempre está dando nada consta. Quem poderia me ajudar? E o site está ruim nos últimos dias. Muito obrigado!"
"Maria Albertina Rodrigues Strozzi","Até quando posso fazer a prova de vida?"
"Luiz Cesar Terosso Terosso","Como faço a prova de vida tenho que ir na minha agência é isso"
"Viviane Santos","Passei ontem na pericia queria saber o resultado"
"Ricardo Batista","Já realizei"
"Jilvan Araujjo","Já começou a prova de vida e quando vai acontece"
"Valdino Campos","Isso tem a ver com esse boato abaixo que anda circulando na Internet? Se não esse boato é verídico e quem recebe o benefício  precisa comparecer ao banco ou INSS?O BOATO:""""BPC"" ou Beneficio de Prestação Continuado é aquele benefício instituído pela LOAS que garante um salário mínimo para: idosos ..."
"Ricardo Batista","Obrigado"
"Luis Antonio De Aguiar Aguiar","Estamos todos pela hora da morte vocês descontam 50% da esmola que a gente nem vive mais vegeta fica na consciência de cada um "" Ad perpetuam"".Entenderam ou não??Salve--se quem puder."
"Previdência Social","A abordagem costuma acontecer da seguinte forma: os criminosos entram em contato por telefone com segurados e se identificam como integrantes do Conselho Nacional de Previdência oferecendo algum tipo de benefício. Afirmam que o aposentado ou pensionista teria direito a receber valores atrasados e  ..."
"Fernando Soares","Com a nova regra de poder juntar vários atestados para chegar a 15 dias a dib esta sendo contada a partir do ultimo atestado. ex se o ultimo atestado for 2 dias e com ele ultrapassar os 15 dias a dib começa a partir do ultimo atestado e não se leva em conta os outros atestados eu tive dois atestad ..."
